ID,kPEX,kPEX-CTCP,lb,kPlexS,lb
G11,1.25,1.81,37,0.33,34
G12,0.51,1.45,63,1.49,21
G13,9.39,16.76,26,2.06,25
G14,24.91,29.08,54,3.01,51
G15,7.52,14.80,36,4.29,32
G16,1.44,2.18,19,1.91,9
G17,1.14,2.83,28,1.73,27
G18,0.32,0.68,70,0.38,69
G19,4.49,22.38,35,0.82,30
G20,3.80,13.08,15,8.70,10
G21,1.15,1.90,32,0.54,30
G22,3.33,19.35,31,19.24,17
G23,8.26,10.84,6,13.94,5
G24,1.86,3.29,32,1.10,30
G25,4.38,35.57,60,36.20,60
G26,2.79,4.43,872,3.37,872
G27,3.34,19.57,27,20.27,24
G28,94.87,672.32,11,199.65,9
G29,2.52,3.16,273,3.07,271
G30,105.46,314.33,52,288.05,10
