graph,KPBB,KPLEX,kPlexS,DiseMKP,KPBB/StrongHeuris,KPBB/RefinedUB,KPBB/RR
G1,3.88,1154.76,187.41,53.08,4.78,19.11,8.07
G2,1337.82,3620,3620,3620,1635.05,3294.15,2081.46
G3,1419.54,3620,3620,3620,1547.23,3620,2638.06
G4,342.97,3620,3620,3620,585.42,2320.83,3066.11
G5,0.14,0.29,1368.99,0.16,0.11,0.13,0.11
G6,24.27,3620,3620,3620,53.38,52.17,22.72
G7,425.81,3620,3620,3620,612.57,912.70,411.10
G8,2.55,567.84,3620,27.01,3.15,7.48,17.04
G9,2.79,411.26,3620,3620,4.16,8.76,3.48
G10,213.36,3620,3620,1101.59,387.66,1328.56,3063.84
G11,3.89,1766.68,3620,3620,4.41,10.87,6.46
G12,0.38,1.30,1.37,432.83,0.79,0.48,0.37
G13,54.23,3620,3620,3620,105.01,171.76,90.66
G14,907.67,3620,3620,3620,1322.46,3620,1638.90
G15,20.56,3620,3620,3620,25.05,39.83,25.07
G16,1.80,58.82,1645.40,884.53,2.40,2.08,2.00
G17,1.81,3022.10,3620,3620,2.19,4.22,2.16
G18,0.88,2804.46,1108.62,3620,1.08,3.39,1.37
G19,0.77,3.59,1.95,1663.41,70.16,0.99,0.78
G20,4.62,795.20,74.41,1325.30,10.31,6.97,6.73
G21,3.01,961.06,3620,3620,3.36,4.05,3.22
G22,2.32,13.58,11.46,17.67,2.43,2.35,2.35
G23,12.98,136.61,11.87,3620,113.37,12.33,12.03
G24,5.57,2979.37,3620,3620,8.86,7.63,6.56
G25,3.37,92.05,3620,3620,3.61,3.51,3.60
G26,4.50,700.66,38.28,7.80,3.89,4.66,4.52
G27,2.65,14.52,15.03,47.94,2.68,2.61,2.44
G28,130.22,3620,1742.62,3620,1199.94,967.46,961.10
G29,5.86,312.93,3620,3620,10.37,13.47,6.34
G30,586.78,3620,3620,3620,2155.20,2636.85,626.15
