ID,kPEX,kPEX-CTCP,lb,kPlexS,lb
G11,0.84,1.13,44,0.35,40
G12,0.51,1.64,67,1.49,26
G13,7.50,15.54,30,2.56,28
G14,11.59,24.35,58,3.18,56
G15,4.89,10.90,41,3.97,40
G16,1.35,1.97,22,2.12,11
G17,1.07,2.22,33,2.03,31
G18,0.52,0.53,77,0.28,74
G19,1.11,2.89,39,0.76,34
G20,3.82,26.48,17,8.69,10
G21,1.17,1.60,35,0.55,33
G22,3.00,17.55,32,19.91,20
G23,12.91,127.54,7,13.06,6
G24,1.64,2.99,35,1.27,31
G25,3.93,31.98,66,33.60,64
G26,3.14,4.33,875,3.69,875
G27,2.89,16.90,32,20.53,27
G28,72.03,3620.00,13,294.41,9
G29,2.17,3.04,280,3.18,280
G30,104.29,301.33,57,261.77,12
