ID,KPHeuris,KPHeuris-CTCP,lb,kPlexS,lb
G11,0.42,2.76,51,0.36,50
G12,0.38,1.79,73,1.57,34
G13,4.75,43.28,39,2.43,36
G14,8.97,110.21,70,3.12,64
G15,3.16,32.72,49,4.05,48
G16,1.43,2.78,27,1.75,14
G17,0.83,2.90,39,1.70,37
G18,0.18,0.68,87,0.35,87
G19,0.77,3.47,44,1.06,37
G20,3.74,292.69,21,36.39,10
G21,0.81,3.96,44,0.43,43
G22,2.31,21.42,34,16.27,26
G23,12.98,182.66,11,12.88,10
G24,1.39,7.38,44,0.96,41
G25,2.72,31.92,77,31.25,76
G26,2.69,5.04,881,3.56,881
G27,2.65,22.11,37,17.98,32
G28,95.63,3620.00,17,1338.78,12
G29,2.60,4.19,296,3.22,292
G30,99.02,284.27,65,255.55,17
