graph,KPBB,KPLEX,kPlexS,DiseMKP,KPBB/StrongHeuris,KPBB/RefinedUB,KPBB/RR
G1,458.33,3620,3100.71,3620,481.10,1691.03,1100.63
G2,38.10,3620,3620,3620,40.57,71.22,53.58
G3,3620,3620,3620,3620,3620,3620,3620
G4,3620,3620,3620,3620,3620,3620,3620
G5,14.30,3620,3620,3620,19.30,99.52,110.20
G6,3620,3620,3620,3620,3620,3620,3620
G7,3620,3620,3620,3620,3620,3620,3620
G8,3620,3620,3620,3620,3620,3620,3620
G9,306.02,3620,3620,3620,827.89,1161.65,831.98
G10,3620,3620,3620,3620,3620,3620,3620
G11,5.94,3620,3620,3620,21.60,24.30,19.56
G12,0.65,1.12,1.14,3620,0.76,0.62,0.62
G13,855.10,3620,3620,3620,1729.70,3620,3620
G14,3131.41,3620,3620,3620,3620,3620,3620
G15,22.68,3620,3620,3620,35.96,102.35,84.46
G16,2.14,23.08,289.64,3620,7.55,4.71,3.83
G17,2.02,314.96,3620,3620,5.71,6.99,4.31
G18,0.64,2679.72,1037.54,3620,3.88,27.81,3.53
G19,0.34,3.04,2.81,1177.80,1798.47,0.30,0.30
G20,4.92,409.33,35.44,3620,12.96,10.02,8.42
G21,20.73,3620,3620,3620,64.65,91.36,109.71
G22,2.16,11.16,10.90,16.94,1.93,1.98,2.08
G23,12.44,163.83,12.00,3620,113.05,12.21,12.64
G24,34.40,3620,3620,3620,65.55,140.97,165.08
G25,2.86,34.57,596.19,3620,2.69,2.70,2.83
G26,0.97,3.61,4.03,3.96,1.02,1.08,1.05
G27,2.24,15.41,13.24,3620,2.54,2.51,2.42
G28,245.46,3620,3620,3620,3620,874.68,877.31
G29,2.77,101.16,3620,11.73,2.58,2.79,2.87
G30,3620,3620,3620,3620,3620,3620,3620
