graph,ALTRB,KPLEX,kPlexS,DiseMKP,ALTRB/RR
G1,458.33,3620,3100.71,3620,1207.22
G2,38.10,3620,3620,3620,48.97
G3,3620,3620,3620,3620,3620
G4,3620,3620,3620,3620,3620
G5,14.30,3620,3620,3620,890.37
G6,3620,3620,3620,3620,3620
G7,3620,3620,3620,3620,3620
G8,3620,3620,3620,3620,3620
G9,306.02,3620,3620,3620,819.94
G10,3620,3620,3620,3620,3620
G11,5.94,3620,3620,3620,25.95
G12,0.65,1.12,1.14,3620,0.65
G13,855.10,3620,3620,3620,3620
G14,3131.41,3620,3620,3620,3620
G15,22.68,3620,3620,3620,228.51
G16,2.14,23.08,289.64,3620,3.65
G17,2.02,314.96,3620,3620,13.18
G18,0.64,2679.72,1037.54,3620,20.97
G19,0.34,3.04,2.81,1177.80,0.34
G20,4.92,409.33,35.44,3620,6.68
G21,20.73,3620,3620,3620,122.29
G22,2.16,11.16,10.90,16.94,1.86
G23,12.44,163.83,12.00,3620,12.76
G24,34.40,3620,3620,3620,190.52
G25,2.86,34.57,596.19,3620,2.72
G26,0.97,3.61,4.03,3.96,0.95
G27,2.24,15.41,13.24,3620,2.22
G28,245.46,3620,3620,3620,245.30
G29,2.77,101.16,3620,11.73,3.00
G30,3620,3620,3620,3620,3620
