graph,KPBB,KPLEX,kPlexS,DiseMKP,KPBB/StrongHeuris,KPBB/RefinedUB,KPBB/RR
G1,3583.81,3620,3620,3620,3620,3620,3620
G2,233.74,3620,3620,3620,254.56,560.44,406.81
G3,3620,3620,3620,3620,3620,3620,3620
G4,3620,3620,3620,3620,3620,3620,3620
G5,0.21,2074.55,3620,3620,0.24,0.24,0.25
G6,3620,3620,3620,3620,3620,3620,3620
G7,3620,3620,3620,3620,3620,3620,3620
G8,933.95,3620,3620,3620,3397.72,3620,3620
G9,28.19,3620,3620,3620,49.04,98.43,77.64
G10,3620,3620,3620,3620,3620,3620,3620
G11,2.34,938.24,3620,3620,4.23,4.57,4.50
G12,0.61,1.35,1.47,3620,0.80,0.59,0.59
G13,290.52,3620,3620,3620,478.79,1758.46,1708.16
G14,1655.56,3620,3620,3620,2178.26,3620,3620
G15,10.99,3620,3620,3620,23.51,17.44,17.27
G16,1.95,95.90,2117.31,3620,3.59,3.14,3.17
G17,1.51,933.05,3620,3620,1.58,2.80,1.95
G18,0.56,3620,3620,3620,0.71,18.56,2.68
G19,0.33,2.31,1.88,49.37,129.90,0.30,0.29
G20,28.93,576.04,122.09,3620,42.70,150.58,73.82
G21,5.33,3620,3620,3620,11.60,10.96,17.17
G22,2.01,10.06,11.46,13.54,2.02,1.95,2.00
G23,13.07,142.80,11.77,3620,114.93,12.73,13.00
G24,8.70,3620,3620,3620,12.26,16.90,25.51
G25,3.20,95.97,3620,3620,3.16,3.33,3.42
G26,1.07,4.11,4.08,3.89,1.09,0.96,1.06
G27,2.50,15.42,12.99,735.93,2.36,2.34,2.50
G28,170.66,3620,2159.09,3620,1906.82,973.56,977.05
G29,2.49,67.56,2223.09,15.57,2.55,2.83,2.62
G30,2402.72,3620,3620,3620,3620,3620,3620
