graph,KPBB,KPLEX,kPlexS,DiseMKP,KPBB/StrongHeuris,KPBB/RefinedUB,KPBB/RR
G1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G2,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G3,3620,3620,3620,3620,3620,3620,3620
G4,3620,3620,3620,3620,3620,3620,3620
G5,3620,3620,3620,3620,3620,3620,3620
G6,3620,3620,3620,3620,3620,3620,3620
G7,3620,3620,3620,3620,3620,3620,3620
G8,3620,3620,3620,3620,3620,3620,3620
G9,3620,3620,3620,3620,3620,3620,3620
G10,3620,3620,3620,3620,3620,3620,3620
G11,3620,3620,3620,3620,3620,3620,3620
G12,0.38,1.08,1.00,3620,0.72,0.36,0.37
G13,3620,3620,3620,3620,3620,3620,3620
G14,3620,3620,3620,3620,3620,3620,3620
G15,3620,3620,3620,3620,3620,3620,3620
G16,57.75,311.28,2451.53,3620,3620,96.53,86.60
G17,404.59,41.72,1815.00,3620,529.09,1291.40,881.35
G18,0.25,0.83,0.77,3620,0.27,0.21,0.26
G19,0.53,4.50,4.86,3620,3620,0.54,0.54
G20,644.18,1398.04,54.30,3620,3620,1344.80,1084.99
G21,3620,3620,3620,3620,3620,3620,3620
G22,1.77,7.64,8.94,3620,3.00,1.80,2.05
G23,12.77,130.41,24.25,3620,112.80,11.85,12.17
G24,3620,3620,3620,3620,3620,3620,3620
G25,68.70,334.13,3620,3620,92.12,191.53,145.13
G26,1.03,3.80,3.75,2.50,0.98,1.07,1.02
G27,2.11,11.52,11.05,3620,2.17,2.06,2.10
G28,3620,3620,3620,3620,3620,3620,3620
G29,2.35,2.99,3.31,9.83,2.46,2.26,2.31
G30,3620,3620,3620,3620,3620,3620,3620
