graph,KPBB,KPBB/RR,KPBB/StrongHeuris,KPBB/RefinedUB,KPLEX,kPlexS,DiseMKP
Network-Repository-CL-10K-1d8-L5-5,0.1186,0.2163,0.1503,0.1657,0.1129,0.1364,0.3871
Network-Repository-CL-10K-1d8-L5-8,16.0218,21.4235,52.853,22.9964,32.0442,45.4468,224.9102
Network-Repository-CL-10K-1d8-L5-10,376.1863,503.2202,377.2737,523.3499,667.3539,729.4265,3620
Network-Repository-CL-10K-1d8-L5-15,32.8646,37.9928,32.8497,39.9592,124.851,3620,3620
Network-Repository-CL-10K-1d8-L5-20,0.4167,0.3752,0.4111,0.4004,1.8686,3620,3620
Network-Repository-copresence-SFHH-2,14.2852,14.1226,16.6199,15.3973,10.0772,3620,3620
Network-Repository-copresence-SFHH-5,13.787,12.6135,13.678,31.6996,1858.2954,3620,3620
Network-Repository-copresence-SFHH-8,2.2363,2.8287,1.804,5.2832,505.9852,3620,3620
Network-Repository-copresence-SFHH-10,1.1151,1.7027,1.2317,2.1227,258.7128,3620,3620
Network-Repository-copresence-SFHH-15,1.8159,1.7954,1.7133,1.7401,274.8481,490.3725,3620
Network-Repository-copresence-SFHH-20,0.8132,0.8168,0.7501,0.6984,0.8153,0.9739,2055.9191
Network-Repository-copresence-Thiers13-2,2633.389,2643.1735,2693.5258,2942.3653,2779.3427,3620,3620
Network-Repository-copresence-Thiers13-5,1849.153,2640.5765,1839.9303,3620,3620,3620,3620
Network-Repository-copresence-Thiers13-8,1999.2359,3620,2114.1347,3620,3620,3620,3620
Network-Repository-copresence-Thiers13-10,1256.6448,3620,1256.8569,3620,3620,3620,3620
Network-Repository-copresence-Thiers13-15,388.6801,897.9077,386.4856,1232.022,3620,3620,3620
Network-Repository-copresence-Thiers13-20,71.7037,97.0114,301.9854,117.1837,3620,3620,3620
Network-Repository-fb-messages-2,0.0103,0.0112,0.004,0.0034,0.0036,0.0049,0.0108
Network-Repository-fb-messages-5,0.0118,0.011,0.011,0.008,0.0044,0.0125,0.0522
