ID,kPEX,kPEX-CTCP,lb,kPlexS,lb
G11,0.26,0.46,79,0.33,77
G12,0.46,1.30,89,1.33,54
G13,2.14,4.66,67,2.34,63
G14,2.93,6.70,108,3.53,107
G15,1.39,4.83,77,3.67,76
G16,0.93,1.84,51,1.66,33
G17,0.58,1.80,64,1.78,59
G18,0.07,0.21,116,0.21,115
G19,0.50,4.28,59,1.27,49
G20,4.31,165.07,41,28.50,30
G21,0.54,0.96,69,0.39,67
G22,1.79,9.92,49,10.13,42
G23,13.37,120.82,31,11.27,30
G24,0.83,1.53,69,0.98,69
G25,2.31,23.63,101,25.56,101
G26,1.14,4.08,900,4.29,900
G27,1.71,11.38,53,13.70,51
G28,449.95,3620.00,36,3008.42,31
G29,2.21,3.34,332,3.53,332
G30,75.86,223.04,98,193.78,36
